Order_Id,Type_of_Payment,Days_for_shipment,Sales_per_customer,Delivery_Status,Late_delivery,Category_Name,Customer_Id,Customer_Segment,Customer_Age,Order_Item_Discount,Order_Status,Product_Name,Product_Price,Shipping_Mode
77202,DEBIT,4,314.6400146,Advance shipping,0,Sporting Goods,20755,Consumer,52,13.10999966,COMPLETE,Smart watch,327.75,Standard Class
75939,TRANSFER,4,311.3599854,Late delivery,1,Sporting Goods,19492,Consumer,74,16.38999939,PENDING,Smart watch,327.75,Standard Class
75938,CASH,4,309.7200012,Shipping on time,0,Sporting Goods,19491,Consumer,45,18.0700069,COMPLETE,Smart watch,327.75,Standard Class
75937,DEBIT,4,304.8099976,Advance shipping,0,Sporting Goods,19490,Home Office,21,22.94000053,COMPLETE,Smart watch,327.75,Standard Class
75936,PAYMENT,4,298.25,Advance shipping,0,Sporting Goods,19489,Corporate,27,29.5,PENDING,Smart watch,327.75,Standard Class
75935,TRANSFER,4,294.980011,Shipping canceled,0,Sporting Goods,19488,Consumer,15,32.77999878,CANCELED,Smart watch,327.75,Standard Class
75934,DEBIT,1,288.4200134,Late delivery,1,Sporting Goods,19487,Home Office,17,39.3700183,COMPLETE,Smart watch,327.75,First Class
75933,TRANSFER,1,285.1400146,Late delivery,1,Sporting Goods,19486,Corporate,28,42.61000061,PENDING,Smart watch,327.75,First Class
75932,CASH,2,278.5899963,Late delivery,1,Sporting Goods,19485,Corporate,40,49.15999985,COMPLETE,Smart watch,327.75,Second Class
75931,CASH,1,275.3099976,Late delivery,1,Sporting Goods,19484,Corporate,46,52.43999863,COMPLETE,Smart watch,327.75,First Class
75930,TRANSFER,2,272.0299988,Shipping canceled,0,Sporting Goods,19483,Corporate,60,55.72000122,CANCELED,Smart watch,327.75,Second Class
75929,TRANSFER,2,268.7600098,Late delivery,1,Sporting Goods,19482,Consumer,67,59,PENDING,Smart watch,327.75,Second Class
75928,TRANSFER,2,262.2000122,Late delivery,1,Sporting Goods,19481,Corporate,55,65.55000305,PENDING,Smart watch,327.75,Second Class
75927,DEBIT,1,245.8099976,Late delivery,1,Sporting Goods,19480,Corporate,53,81.94000244,COMPLETE,Smart watch,327.75,First Class
75926,TRANSFER,1,327.75,Late delivery,1,Sporting Goods,19479,Corporate,73,0,PENDING,Smart watch,327.75,First Class
75925,DEBIT,1,324.4700012,Late delivery,1,Sporting Goods,19478,Corporate,41,3.279999971,COMPLETE,Smart watch,327.75,First Class
75924,PAYMENT,2,321.2000122,Late delivery,1,Sporting Goods,19477,Corporate,71,6.559999943,PENDING,Smart watch,327.75,Second Class
75923,CASH,1,317.9200134,Late delivery,1,Sporting Goods,19476,Corporate,34,9.829999924,COMPLETE,Smart watch,327.75,First Class
75922,DEBIT,1,314.6400146,Late delivery,1,Sporting Goods,19475,Consumer,32,13.10999966,COMPLETE,Smart watch,327.75,First Class
75921,PAYMENT,0,311.3599854,Shipping on time,0,Sporting Goods,19474,Consumer,33,16.38999939,PENDING,Smart watch,327.75,Same Day
75920,TRANSFER,0,309.7200012,Shipping on time,0,Sporting Goods,19473,Corporate,40,18.0700069,PENDING,Smart watch,327.75,Same Day
75919,TRANSFER,4,304.8099976,Late delivery,1,Sporting Goods,19472,Corporate,40,22.94000053,PENDING,Smart watch,327.75,Standard Class
75918,TRANSFER,2,298.25,Late delivery,1,Sporting Goods,19471,Corporate,34,29.5,PENDING,Smart watch,327.75,Second Class
75917,TRANSFER,2,294.980011,Shipping canceled,0,Sporting Goods,19470,Corporate,25,32.77999878,CANCELED,Smart watch,327.75,Second Class
75916,TRANSFER,2,288.4200134,Shipping canceled,0,Sporting Goods,19469,Corporate,74,39.3700183,CANCELED,Smart watch,327.75,Second Class
75915,DEBIT,2,285.1400146,Late delivery,1,Sporting Goods,19468,Corporate,34,42.61000061,COMPLETE,Smart watch,327.75,Second Class
75914,TRANSFER,2,278.5899963,Late delivery,1,Sporting Goods,19467,Consumer,75,49.15999985,PENDING,Smart watch,327.75,Second Class
75913,PAYMENT,4,275.3099976,Shipping on time,0,Sporting Goods,19466,Corporate,69,52.43999863,PENDING,Smart watch,327.75,Standard Class
75912,DEBIT,4,272.0299988,Advance shipping,0,Sporting Goods,19465,Corporate,56,55.72000122,COMPLETE,Smart watch,327.75,Standard Class
75911,TRANSFER,4,268.7600098,Advance shipping,0,Sporting Goods,19464,Consumer,48,59,PENDING,Smart watch,327.75,Standard Class
75910,DEBIT,4,262.2000122,Late delivery,1,Sporting Goods,19463,Consumer,74,65.55000305,PENDING,Smart watch,327.75,Standard Class
75909,DEBIT,4,245.8099976,Late delivery,1,Sporting Goods,19462,Consumer,53,81.94000244,COMPLETE,Smart watch,327.75,Standard Class
75908,PAYMENT,4,327.75,Shipping on time,0,Sporting Goods,19461,Consumer,61,0,PENDING,Smart watch,327.75,Standard Class
75907,DEBIT,1,324.4700012,Late delivery,1,Sporting Goods,19460,Consumer,29,3.279999971,COMPLETE,Smart watch,327.75,First Class
75906,PAYMENT,1,321.2000122,Late delivery,1,Sporting Goods,19459,Consumer,69,6.559999943,PENDING,Smart watch,327.75,First Class
75905,PAYMENT,1,317.9200134,Late delivery,1,Sporting Goods,19458,Corporate,53,9.829999924,PENDING,Smart watch,327.75,First Class
75904,CASH,1,314.6400146,Late delivery,1,Sporting Goods,19457,Corporate,62,13.10999966,COMPLETE,Smart watch,327.75,First Class
75903,DEBIT,1,311.3599854,Late delivery,1,Sporting Goods,19456,Corporate,71,16.38999939,COMPLETE,Smart watch,327.75,First Class
75902,DEBIT,0,309.7200012,Late delivery,1,Sporting Goods,19455,Consumer,38,18.0700069,COMPLETE,Smart watch,327.75,Same Day
75901,TRANSFER,0,304.8099976,Shipping canceled,0,Sporting Goods,19454,Consumer,35,22.94000053,CANCELED,Smart watch,327.75,Same Day
75900,PAYMENT,0,298.25,Late delivery,1,Sporting Goods,19453,Consumer,26,29.5,PENDING,Smart watch,327.75,Same Day
75899,DEBIT,0,294.980011,Late delivery,1,Sporting Goods,19452,Home Office,55,32.77999878,COMPLETE,Smart watch,327.75,Same Day
75898,CASH,4,288.4200134,Shipping on time,0,Sporting Goods,19451,Home Office,68,39.3700183,COMPLETE,Smart watch,327.75,Standard Class
75897,PAYMENT,4,285.1400146,Advance shipping,0,Sporting Goods,19450,Home Office,58,42.61000061,PENDING,Smart watch,327.75,Standard Class
75896,DEBIT,4,278.5899963,Advance shipping,0,Sporting Goods,19449,Consumer,20,49.15999985,COMPLETE,Smart watch,327.75,Standard Class
75895,TRANSFER,4,275.3099976,Late delivery,1,Sporting Goods,19448,Corporate,56,52.43999863,PENDING,Smart watch,327.75,Standard Class
75894,TRANSFER,2,272.0299988,Late delivery,1,Sporting Goods,19447,Corporate,31,55.72000122,PENDING,Smart watch,327.75,Second Class
75893,TRANSFER,4,268.7600098,Shipping on time,0,Sporting Goods,19446,Corporate,53,59,PENDING,Smart watch,327.75,Standard Class
28744,PAYMENT,2,115.1800003,Late delivery,1,Cleats,9083,Home Office,19,4.800000191,PENDING,Perfect Fitness Perfect Rip Deck,59.99000168,Second Class
45461,PAYMENT,2,79.18000031,Shipping on time,0,Shop By Sport,4741,Home Office,48,0.800000012,PENDING,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,Second Class
