id,rating,reput,worth,wage,ht_cm,preferred_foot,work_rate,pace,shooting,finishing,dribbling
257842,55,1,1022,11.903,173,Right,High,78,47,51,58
237554,70,1,1150,14.077,73 in,Right,Medium,62,33,24,59
199464,67,1,1067,11.903,184,Right,Medium,65,41,38,57
238225,68,1,1129,12.446,70 in,Left,High,60,59,61,69
241687,58,1,1021,10,175,Left,Medium,61,41,41,50
214603,69,1,1021,10,67 in,Left,High,73,50,37,64
230623,67,1,1086,11.359,73 in,Right,Medium,37,67,69,60
261549,48,1,1007,10,162,Right,High,61,26,25,48
258348,60,1,1040,10.082,181,Right,Medium,65,52,53,60
264313,63,1,1048,10.815,70 in,Left,Medium,70,47,46,54
199014,62,1,1022,10.217,180,Right,Medium,59,61,62,55
225555,72,1,1150,16.795,176,Right,High,78,59,52,71
248687,72,1,1353,17.339,188,Right,Medium,65,28,24,38
236177,67,1,1071,12.99,180,Left,Medium,64,67,66,75
189575,83,2,3633,33.648,170,Right,High,81,76,79,87
224458,82,2,4319,74.964,178,Right,High,84,81,84,85
235665,63,1,1071,10.054,185,Right,Medium,71,33,29,40
208622,74,1,1302,24.95,185,Right,High,78,76,76,71
242619,75,1,1612,20.601,180,Right,Medium,70,56,56,73
261704,62,1,1058,10,68 in,Right,Medium,70,44,44,56
237429,70,1,1129,13.534,72 in,Right,Medium,51,31,31,37
261469,58,1,1031,10,65 in,Right,Medium,65,47,51,56
237745,69,1,1066,11.359,72 in,Right,Medium,53,56,56,64
260265,67,1,1086,10,69 in,Right,Medium,65,56,55,65
216463,71,1,1194,12.446,176,Right,High,72,66,69,72
264114,52,1,1008,10,183,Right,Medium,54,54,55,50
222187,53,1,1005,10.815,73 in,Right,Medium,65,45,40,46
228236,75,1,1360,18.97,192,Left,Medium,69,46,37,65
188071,66,1,1060,10.815,170,Left,High,73,56,51,65
241967,66,1,1078,10.272,72 in,Right,High,85,53,56,70
264234,58,1,1035,10,175,Right,Medium,69,44,38,61
243733,67,1,1093,11.359,70 in,Right,Medium,76,54,50,60
217585,67,1,1078,11.359,180,Left,Medium,69,43,34,61
246284,72,1,1360,15.708,173,Right,High,79,46,40,66
257636,63,1,1078,10.815,185,Left,Medium,63,31,18,51
216530,71,1,1064,10.082,75 in,Left,High,64,72,74,68
162891,64,1,1012,10,183,Left,Medium,46,60,58,62
262703,63,1,1021,10.272,188,Right,Medium,51,35,36,47
252435,55,1,1024,10.245,70 in,Right,High,66,38,34,53
202115,67,2,1053,11.903,70 in,Left,Medium,69,46,36,68
230483,72,1,1187,18.97,181,Right,Medium,73,61,61,77
242516,79,1,3020,20.057,189,Right,Medium,85,78,79,79
257753,61,1,1003,10.272,176,Right,High,43,53,48,54
225316,69,1,1122,15.708,194,Right,Medium,70,59,55,59
222969,71,1,1040,14.077,185,Right,Low,48,44,40,69
242578,76,2,2118,25.494,194,Left,Medium,62,39,21,57
234476,70,1,1093,14.077,76 in,Right,Medium,65,68,74,59
257036,60,1,1039,10.054,188,Right,Medium,66,36,31,51
258433,70,1,1230,16.252,174,Right,High,74,58,56,72
259569,67,1,1165,12.446,184,Left,Medium,62,53,54,73
230479,71,1,1158,14.077,174,Right,High,69,63,64,71
262048,54,1,1015,10,71 in,Right,Medium,62,34,28,42
188038,75,1,1259,10.272,186,Right,Medium,61,53,48,63
246608,72,1,1266,24.406,172,Right,High,79,65,67,74
240997,66,1,1129,11.903,190,Right,Low,63,29,21,35
262534,60,1,1024,10.054,194,Right,Medium,59,31,33,45
225402,70,1,1100,13.534,178,Right,Medium,76,58,50,72
149064,69,2,1021,13.534,182,Left,High,60,49,33,67
222300,62,1,1026,11.359,73 in,Right,High,68,43,38,51
209523,74,1,1324,10.272,175,Right,High,83,69,70,74
257208,70,1,1273,15.165,178,Right,High,82,68,69,72
229816,63,1,1040,11.359,194,Right,High,71,63,68,49
243485,53,1,1014,10,175,Right,High,60,54,58,57
260622,65,1,1071,10,73 in,Right,Medium,82,63,65,63
250960,57,1,1026,10.815,182,Left,High,70,46,45,55
252421,61,1,1049,10.815,168,Right,Medium,74,33,28,56
256950,62,1,1019,10.272,188,Right,Low,41,33,35,57
198143,75,1,1396,16.795,174,Right,High,77,67,66,83
222399,67,1,1086,11.903,72 in,Left,High,69,42,37,66
199283,69,1,1071,12.99,175,Left,High,76,64,63,67
252198,55,1,1019,10.272,186,Left,Low,64,27,20,29
238885,67,1,1114,11.359,69 in,Right,Medium,75,66,69,68
238987,66,1,1086,10.815,75 in,Right,Medium,68,41,31,38
244915,76,1,2118,30.386,75 in,Left,Medium,67,36,30,47
240886,62,1,1040,11.359,75 in,Right,Medium,73,29,25,45
189695,63,1,1033,10.815,176,Right,Medium,69,60,59,63
246910,65,1,1129,11.359,69 in,Left,Medium,74,58,55,72
254726,62,1,1028,10,168,Right,Medium,61,53,59,62
234515,72,1,1165,16.252,184,Left,Medium,65,26,22,61
233794,66,1,1093,15.165,174,Left,High,62,66,64,74
257878,65,1,1114,10.272,183,Right,Medium,65,40,30,60
244087,60,1,1039,11.359,182,Right,Medium,59,57,58,64
210475,74,1,1259,21.144,187,Right,Medium,58,51,49,62
234279,66,1,1053,11.903,67 in,Right,Medium,75,48,44,67
216227,65,1,1058,11.903,71 in,Right,High,91,63,65,63
261307,70,1,1252,12.446,179,Right,High,83,65,66,76
251019,67,1,1067,11.359,199,Right,High,64,45,42,37
254814,69,1,1187,12.446,187,Right,Medium,63,47,45,56
231910,69,1,1129,11.903,186,Right,High,78,67,68,68
264425,67,1,1114,10.815,73 in,Right,Medium,76,67,67,72
251636,67,1,1143,12.446,183,Right,Medium,74,41,35,53
262042,63,1,1078,10.815,76 in,Left,Medium,63,30,26,47
224300,66,1,1069,10.815,71 in,Right,Medium,80,45,45,53
230290,62,1,1033,10.815,187,Right,Medium,47,64,63,59
